knowledge_object_id,ontology_class_id,canonical_key,title,consensus_state,layer_count,publishers,layers_excerpt
ko_11becc6d84e45ec3,"",hvac::performance_spec:hvac::performance_spec:制冷量_制冷量_17,制冷量,over_merge,8,特灵; 美意,"{""layers"": [{""authority_level"": ""unspecified"", ""publisher"": ""\u7f8e\u610f"", ""citation"": null, ""source_name"": ""\u5236\u51b7\u91cf"", ""structured_payload"": {""parameter_name"": ""\u5236\u51b7\u91cf"", ""value"": ""332"", ""unit"": ""kW"", ""title"": ""\u5236\u51b7\u91cf"", ""summary"": ""\u5236\u51b7\u91cfkW 332""}, ""value_summary"": ""332kW"", ""evidence_role"": ""primary"", ""doc_id"": ""doc_5c7b31cc79e0467a"", ""chunk_id"": ""visual_page_doc_5c7b31cc79e0467a_5""}, {""authority_level"": ""unspecified"", ""publisher"": ""\u7f8e\u610f"", ""citation"": null, ""source_name"": ""\u5236\u51b7\u91cf"", ""structured_payload"": {""parameter_name"": ""\u5236\u51b7\u91cf"", ""value"": ""924"", ""unit"": ""kW"", ""title"": ""\u5236\u51b7\u91cf"", ""summary"": ""\u5236\u51b7\u91cfkW 924""}, ""value_summary"": ""924kW"", ""evidence_role"": ""corroborating"", ""doc_id"": ""doc_5c7b31cc79e0467a"", ""chunk_id"": ""visual_page_doc_5c7b31cc79e0467a_5""}, {""authority_level"": ""unspecified"", ""publisher"": ""\u7f8e\u610f"", ""citation"": null, ""source_name"": ""\u5236\u51b7\u91cf"", ""structured_payload"": {""parameter_name"": ""\u5236\u51b7\u91cf"", ""value"": ""11.7"", ""unit"": ""kW"", ""title"": ""\u5236\u51b7\u91cf"", ""summary"": ""\u5236\u51b7\u91cfkW \u56de\u98ce\u5de5\u51b5 4\u6392\u7ba1 11.7""}, ""value_summary"
ko_2a48a81c382ba634,"",hvac::performance_spec:hvac::performance_spec:制冷量_制冷量_16,制冷量,over_merge,8,日立; 美意; unknown,"{""layers"": [{""authority_level"": ""unspecified"", ""publisher"": ""unknown"", ""citation"": null, ""source_name"": ""\u5236\u51b7\u91cf"", ""structured_payload"": {""parameter_name"": ""\u5236\u51b7\u91cf"", ""value"": ""98.69"", ""unit"": ""RT"", ""title"": ""\u5236\u51b7\u91cf"", ""summary"": ""\u5236\u51b7\u91cf RT 98.69""}, ""value_summary"": ""98.69RT"", ""evidence_role"": ""primary"", ""doc_id"": ""doc_9773977431814c79"", ""chunk_id"": ""visual_page_doc_9773977431814c79_6""}, {""authority_level"": ""unspecified"", ""publisher"": ""unknown"", ""citation"": null, ""source_name"": ""\u5236\u51b7\u91cf"", ""structured_payload"": {""parameter_name"": ""\u5236\u51b7\u91cf"", ""value"": ""347.0"", ""unit"": ""kW"", ""title"": ""\u5236\u51b7\u91cf"", ""summary"": ""\u5236\u51b7\u91cf kW 347.0""}, ""value_summary"": ""347.0kW"", ""evidence_role"": ""corroborating"", ""doc_id"": ""doc_9773977431814c79"", ""chunk_id"": ""visual_page_doc_9773977431814c79_6""}, {""authority_level"": ""unspecified"", ""publisher"": ""\u65e5\u7acb"", ""citation"": null, ""source_name"": ""\u5236\u51b7\u91cf"", ""structured_payload"": {""parameter_name"": ""\u5236\u51b7\u91cf"", ""value"": ""100%"", ""title"": ""\u5236\u51b7\u91cf"", ""summary"": ""\u5236\u51b7\u91cf: 100%""}, ""value_summary"": ""100%"", ""evidence_role"": ""corroborating"", ""doc_"
ko_591ae739b27c71b9,"",hvac::performance_spec:制冷额定总输入功率,制冷额定总输入功率,over_merge,4,麦克维尔,"{""layers"": [{""authority_level"": ""unspecified"", ""publisher"": ""\u9ea6\u514b\u7ef4\u5c14"", ""citation"": null, ""source_name"": ""\u5236\u51b7\u989d\u5b9a\u603b\u8f93\u5165\u529f\u7387"", ""structured_payload"": {""parameter_name"": ""\u5236\u51b7\u989d\u5b9a\u603b\u8f93\u5165\u529f\u7387"", ""value"": ""33.40"", ""unit"": ""kW"", ""title"": ""\u5236\u51b7\u989d\u5b9a\u603b\u8f93\u5165\u529f\u7387"", ""summary"": ""\u5236\u51b7\u989d\u5b9a\u603b\u8f93\u5165\u529f\u7387 R22 kW 33.40""}, ""value_summary"": ""33.40kW"", ""evidence_role"": ""primary"", ""doc_id"": ""doc_241df464e7ea41df"", ""chunk_id"": ""visual_page_doc_241df464e7ea41df_5""}, {""authority_level"": ""unspecified"", ""publisher"": ""\u9ea6\u514b\u7ef4\u5c14"", ""citation"": null, ""source_name"": ""\u5236\u70ed\u989d\u5b9a\u603b\u8f93\u5165\u529f\u7387"", ""structured_payload"": {""parameter_name"": ""\u5236\u70ed\u989d\u5b9a\u603b\u8f93\u5165\u529f\u7387"", ""value"": ""37.20"", ""unit"": ""kW"", ""title"": ""\u5236\u70ed\u989d\u5b9a\u603b\u8f93\u5165\u529f\u7387"", ""summary"": ""\u5236\u70ed\u989d\u5b9a\u603b\u8f93\u5165\u529f\u7387* R22 kW 37.20""}, ""value_summary"": ""37.20kW"", ""evidence_role"": ""corroborating"", ""doc_id"": ""doc_241df464e7ea41df"", ""chunk_id"": ""visual_page_doc_241df464e7ea41df_5""}, {""a"
ko_eb13c84bd93a04e3,"",hvac::performance_spec:hvac::performance_spec:制热量_制热量_9,制热量,over_merge,6,美意,"{""layers"": [{""authority_level"": ""unspecified"", ""publisher"": ""\u7f8e\u610f"", ""citation"": null, ""source_name"": ""\u5236\u70ed\u91cf"", ""structured_payload"": {""parameter_name"": ""\u5236\u70ed\u91cf"", ""value"": ""437"", ""unit"": ""kW"", ""title"": ""\u5236\u70ed\u91cf"", ""summary"": ""\u5236\u70ed\u91cfkW 437""}, ""value_summary"": ""437kW"", ""evidence_role"": ""primary"", ""doc_id"": ""doc_5c7b31cc79e0467a"", ""chunk_id"": ""visual_page_doc_5c7b31cc79e0467a_5""}, {""authority_level"": ""unspecified"", ""publisher"": ""\u7f8e\u610f"", ""citation"": null, ""source_name"": ""\u5236\u70ed\u91cf"", ""structured_payload"": {""parameter_name"": ""\u5236\u70ed\u91cf"", ""value"": ""1199"", ""unit"": ""kW"", ""title"": ""\u5236\u70ed\u91cf"", ""summary"": ""\u5236\u70ed\u91cfkW 1,199""}, ""value_summary"": ""1199kW"", ""evidence_role"": ""corroborating"", ""doc_id"": ""doc_5c7b31cc79e0467a"", ""chunk_id"": ""visual_page_doc_5c7b31cc79e0467a_5""}, {""authority_level"": ""unspecified"", ""publisher"": ""\u7f8e\u610f"", ""citation"": null, ""source_name"": ""\u5236\u70ed\u91cf"", ""structured_payload"": {""parameter_name"": ""\u5236\u70ed\u91cf"", ""value"": ""17.7"", ""unit"": ""kW"", ""title"": ""\u5236\u70ed\u91cf"", ""summary"": ""\u5236\u70ed\u91cfkW \u56de\u98ce\u5de5\u51b5 4\u6392\u7ba1 17.7""}, ""value_sum"
ko_4e94733f46e8b8a1,"",hvac::performance_spec:hvac::performance_spec:名义制冷量_名义制冷量_3,名义制冷量,over_merge,8,美意; 麦克维尔; unknown,"{""layers"": [{""authority_level"": ""unspecified"", ""publisher"": ""unknown"", ""citation"": null, ""source_name"": ""\u540d\u4e49\u5236\u51b7\u91cf"", ""structured_payload"": {""parameter_name"": ""\u540d\u4e49\u5236\u51b7\u91cf"", ""value"": ""464"", ""unit"": ""kW"", ""title"": ""\u540d\u4e49\u5236\u51b7\u91cf"", ""summary"": ""\u540d\u4e49\u5236\u51b7\u91cf kW 464""}, ""value_summary"": ""464kW"", ""evidence_role"": ""primary"", ""doc_id"": ""doc_b9f6ab162a964ef3"", ""chunk_id"": ""visual_page_doc_b9f6ab162a964ef3_26""}, {""authority_level"": ""unspecified"", ""publisher"": ""unknown"", ""citation"": null, ""source_name"": ""\u540d\u4e49\u5236\u51b7\u91cf"", ""structured_payload"": {""parameter_name"": ""\u540d\u4e49\u5236\u51b7\u91cf"", ""value"": ""40"", ""unit"": ""10\u2074kCal/h"", ""title"": ""\u540d\u4e49\u5236\u51b7\u91cf"", ""summary"": ""\u540d\u4e49\u5236\u51b7\u91cf 10\u2074kCal/h 40""}, ""value_summary"": ""4010\u2074kCal/h"", ""evidence_role"": ""corroborating"", ""doc_id"": ""doc_b9f6ab162a964ef3"", ""chunk_id"": ""visual_page_doc_b9f6ab162a964ef3_26""}, {""authority_level"": ""unspecified"", ""publisher"": ""unknown"", ""citation"": null, ""source_name"": ""\u540d\u4e49\u5236\u51b7\u91cf"", ""structured_payload"": {""parameter_name"": ""\u540d\u4e49\u5236\u51b7\u91cf"", ""value"": ""100"""
ko_33a96a59e127e69a,"",hvac::performance_spec:hvac::performance_spec:名义制热量_名义制热量,名义制热量,over_merge,8,美意; 麦克维尔; unknown,"{""layers"": [{""authority_level"": ""unspecified"", ""publisher"": ""\u7f8e\u610f"", ""citation"": null, ""source_name"": ""\u540d\u4e49\u5236\u70ed\u91cf"", ""structured_payload"": {""parameter_name"": ""\u540d\u4e49\u5236\u70ed\u91cf"", ""value"": ""290"", ""unit"": ""kW"", ""title"": ""\u540d\u4e49\u5236\u70ed\u91cf"", ""summary"": ""\u540d\u4e49\u5236\u70ed\u91cf kW 290""}, ""value_summary"": ""290kW"", ""evidence_role"": ""primary"", ""doc_id"": ""doc_14e744733fa547fb"", ""chunk_id"": ""visual_page_doc_14e744733fa547fb_5""}, {""authority_level"": ""unspecified"", ""publisher"": ""\u7f8e\u610f"", ""citation"": null, ""source_name"": ""\u540d\u4e49\u5236\u70ed\u91cf"", ""structured_payload"": {""parameter_name"": ""\u540d\u4e49\u5236\u70ed\u91cf"", ""value"": ""1230"", ""unit"": ""kW"", ""title"": ""\u540d\u4e49\u5236\u70ed\u91cf"", ""summary"": ""\u540d\u4e49\u5236\u70ed\u91cf kW 1230""}, ""value_summary"": ""1230kW"", ""evidence_role"": ""corroborating"", ""doc_id"": ""doc_14e744733fa547fb"", ""chunk_id"": ""visual_page_doc_14e744733fa547fb_5""}, {""authority_level"": ""unspecified"", ""publisher"": ""\u9ea6\u514b\u7ef4\u5c14"", ""citation"": null, ""source_name"": ""\u540d\u4e49\u5236\u70ed\u91cf"", ""structured_payload"": {""parameter_name"": ""\u540d\u4e49\u5236\u70ed\u91cf"", ""value"": ""111"", ""un"
ko_6718ae939ea97fff,"",hvac::performance_spec:最大允许压力,最大允许压力,over_merge,2,日立,"{""layers"": [{""authority_level"": ""unspecified"", ""publisher"": ""\u65e5\u7acb"", ""citation"": null, ""source_name"": ""\u6700\u5927\u5141\u8bb8\u538b\u529b"", ""structured_payload"": {""parameter_name"": ""\u6700\u5927\u5141\u8bb8\u538b\u529b"", ""value"": ""2.2"", ""unit"": ""MPa"", ""title"": ""\u6700\u5927\u5141\u8bb8\u538b\u529b"", ""summary"": ""\u6700\u5927\u5141\u8bb8\u538b\u529b \u51b7\u5a92\u4fa7 MPa 2.2""}, ""value_summary"": ""2.2MPa"", ""evidence_role"": ""primary"", ""doc_id"": ""doc_9c740929db094ed8"", ""chunk_id"": ""visual_page_doc_9c740929db094ed8_19""}, {""authority_level"": ""unspecified"", ""publisher"": ""\u65e5\u7acb"", ""citation"": null, ""source_name"": ""\u6700\u5927\u5141\u8bb8\u538b\u529b"", ""structured_payload"": {""parameter_name"": ""\u6700\u5927\u5141\u8bb8\u538b\u529b"", ""value"": ""0.8"", ""unit"": ""MPa"", ""title"": ""\u6700\u5927\u5141\u8bb8\u538b\u529b"", ""summary"": ""\u6700\u5927\u5141\u8bb8\u538b\u529b \u6c34\u4fa7 MPa 0.8""}, ""value_summary"": ""0.8MPa"", ""evidence_role"": ""corroborating"", ""doc_id"": ""doc_9c740929db094ed8"", ""chunk_id"": ""visual_page_doc_9c740929db094ed8_19""}]}"
ko_4f473c89ca544582,"",hvac::performance_spec:水流量_水流量_5,水流量,over_merge,8,特灵; 美意; unknown,"{""layers"": [{""authority_level"": ""unspecified"", ""publisher"": ""unknown"", ""citation"": null, ""source_name"": ""\u6c34\u6d41\u91cf"", ""structured_payload"": {""parameter_name"": ""\u6c34\u6d41\u91cf"", ""value"": ""80%-110%"", ""unit"": ""%"", ""range_min"": ""80"", ""range_max"": ""110"", ""title"": ""\u6c34\u6d41\u91cf"", ""summary"": ""\u6c34\u6d41\u91cf 80%-110%""}, ""value_summary"": ""80%-110%%"", ""evidence_role"": ""primary"", ""doc_id"": ""doc_ca9bf7b44c414517"", ""chunk_id"": ""visual_page_doc_ca9bf7b44c414517_3""}, {""authority_level"": ""unspecified"", ""publisher"": ""unknown"", ""citation"": null, ""source_name"": ""\u6c34\u6d41\u91cf"", ""structured_payload"": {""parameter_name"": ""\u6c34\u6d41\u91cf"", ""value"": ""80%-110%"", ""unit"": ""%"", ""range_min"": ""80"", ""range_max"": ""110"", ""title"": ""\u6c34\u6d41\u91cf"", ""summary"": ""\u6c34\u6d41\u91cf 80%-110%""}, ""value_summary"": ""80%-110%%"", ""evidence_role"": ""corroborating"", ""doc_id"": ""doc_ca9bf7b44c414517"", ""chunk_id"": ""visual_page_doc_ca9bf7b44c414517_3""}, {""authority_level"": ""unspecified"", ""publisher"": ""unknown"", ""citation"": null, ""source_name"": ""\u6c34\u6d41\u91cf"", ""structured_payload"": {""parameter_name"": ""\u6c34\u6d41\u91cf"", ""value"": ""80%-110%"", ""unit"": ""%"", ""range_min"": ""80"", ""range_max"": ""110"""
ko_e0075dafbff580a7,ahu,hvac:ahu:performance_spec:制冷量,制冷量,over_merge,5,特灵; 美意,"{""layers"": [{""authority_level"": ""unspecified"", ""publisher"": ""\u7279\u7075"", ""citation"": null, ""source_name"": ""\u5236\u51b7\u91cf"", ""structured_payload"": {""parameter_name"": ""\u5236\u51b7\u91cf"", ""title"": ""LPCQ003\u5236\u51b7\u91cf\uff084\u6392\u56de\u98ce\uff09"", ""summary"": ""LPCQ003\u5728\u56de\u98ce\u5de5\u51b5\u4e0b4\u6392\u76d8\u7ba1\u5236\u51b7\u91cf\u5168\u70ed13.3kW\uff0c\u663e\u70ed10.4kW\u3002""}, ""value_summary"": ""\u5236\u51b7\u91cf"", ""evidence_role"": ""primary"", ""doc_id"": ""doc_79470be9a10d4cb0"", ""chunk_id"": ""chunk_11fd25363783460d""}, {""authority_level"": ""unspecified"", ""publisher"": ""\u7f8e\u610f"", ""citation"": null, ""source_name"": ""\u5236\u51b7\u91cf"", ""structured_payload"": {""parameter_name"": ""\u5236\u51b7\u91cf"", ""value"": ""11.7"", ""unit"": ""kW"", ""title"": ""\u5236\u51b7\u91cf"", ""summary"": ""\u5236\u51b7\u91cfkW \u56de\u98ce\u5de5\u51b5 4\u6392\u7ba1 11.7""}, ""value_summary"": ""11.7kW"", ""evidence_role"": ""corroborating"", ""doc_id"": ""doc_63f0bd02957d4722"", ""chunk_id"": ""visual_page_doc_63f0bd02957d4722_4""}, {""authority_level"": ""unspecified"", ""publisher"": ""\u7f8e\u610f"", ""citation"": null, ""source_name"": ""\u5236\u51b7\u91cf"", ""structured_payload"": {""parameter_name"": ""\u5236\u51b7\u91cf"", """
ko_2ba76711e02b5977,ahu,hvac:ahu:performance_spec:制热量,制热量,over_merge,4,美意,"{""layers"": [{""authority_level"": ""unspecified"", ""publisher"": ""\u7f8e\u610f"", ""citation"": null, ""source_name"": ""\u5236\u70ed\u91cf"", ""structured_payload"": {""parameter_name"": ""\u5236\u70ed\u91cf"", ""value"": ""17.7"", ""unit"": ""kW"", ""title"": ""\u5236\u70ed\u91cf"", ""summary"": ""\u5236\u70ed\u91cfkW \u56de\u98ce\u5de5\u51b5 4\u6392\u7ba1 17.7""}, ""value_summary"": ""17.7kW"", ""evidence_role"": ""primary"", ""doc_id"": ""doc_63f0bd02957d4722"", ""chunk_id"": ""visual_page_doc_63f0bd02957d4722_4""}, {""authority_level"": ""unspecified"", ""publisher"": ""\u7f8e\u610f"", ""citation"": null, ""source_name"": ""\u5236\u70ed\u91cf"", ""structured_payload"": {""parameter_name"": ""\u5236\u70ed\u91cf"", ""value"": ""22"", ""unit"": ""kW"", ""title"": ""\u5236\u70ed\u91cf"", ""summary"": ""\u5236\u70ed\u91cfkW \u56de\u98ce\u5de5\u51b5 6\u6392\u7ba1 22""}, ""value_summary"": ""22kW"", ""evidence_role"": ""corroborating"", ""doc_id"": ""doc_63f0bd02957d4722"", ""chunk_id"": ""visual_page_doc_63f0bd02957d4722_4""}, {""authority_level"": ""unspecified"", ""publisher"": ""\u7f8e\u610f"", ""citation"": null, ""source_name"": ""\u5236\u70ed\u91cf"", ""structured_payload"": {""parameter_name"": ""\u5236\u70ed\u91cf"", ""value"": ""28.3"", ""unit"": ""kW"", ""title"": ""\u5236\u70ed\u91cf"", ""summary"": ""\u52"
