knowledge_object_id,ontology_class_id,canonical_key,title,old_state,new_state,changed,facet_summary
ko_0003dc96ea6cfa09,centrifugal_chiller,hvac:centrifugal_chiller:parameter:冷量优先控制,冷量优先控制,material_conflict,over_merge,True,"{""layers"": [{""publisher"": ""Carrier"", ""source_name"": ""冷量优先控制"", ""value_summary"": ""超出额定电流110%的时间大于30秒，就会激发安全关机。秒""}, {""publisher"": ""日立"", ""source_name"": ""用于控制电路 保险丝、断路器 电流"", ""value_summary"": ""10A""}]}"
ko_0030ae692a99b5fe,chiller,hvac:chiller:operational_sequence:emergency_chiller_off_with_wse,Emergency Chiller Off (with WSE),material_conflict,partial_conflict,True,"{""layers"": [{""publisher"": null, ""source_name"": ""Emergency Chiller Off (with WSE)"", ""value_summary"": ""Emergency Chiller Off (with WSE)""}, {""publisher"": null, ""source_name"": ""Emergency Chiller Off (without WSE)"", ""value_summary"": ""Emergency Chiller Off (without WSE)""}]}"
ko_006181463c8d327c,ahu,hvac:ahu:operational_sequence:deadband_mode_parallel_fan_control_for_ashrae_62_1,Deadband Mode Parallel Fan Control for ASHRAE 62.1,material_conflict,partial_conflict,True,"{""layers"": [{""publisher"": null, ""source_name"": ""Deadband Mode Parallel Fan Control for ASHRAE 62.1"", ""value_summary"": ""Deadband Mode Parallel Fan Control for ASHRAE 62.1""}, {""publisher"": null, ""source_name"": ""Fan Control Logic for Parallel Fan-Powered Terminal Unit"", ""value_summary"": ""Fan Control Logic for Parallel Fan-Powered Terminal Unit""}]}"
ko_007c216c7e472be1,centrifugal_chiller,hvac:centrifugal_chiller:parameter:压缩机停机再启动间隔,压缩机停机再启动间隔,material_conflict,value_disagreement,True,"{""layers"": [{""publisher"": ""格力"", ""source_name"": ""压缩机停机再启动间隔"", ""value_summary"": ""压缩机停机再启动间隔""}, {""publisher"": ""unknown"", ""source_name"": ""压缩机停机后重新开机等待时间"", ""value_summary"": ""20分钟""}, {""publisher"": ""日立"", ""source_name"": ""压缩机启动延迟时刻"", ""value_summary"": ""3分钟""}]}"
ko_007ce028add8943e,chiller,hvac:chiller:operational_sequence:condenser_water_pump_enable_disable_dedicated,Condenser Water Pump Enable/Disable (Dedicated),material_conflict,partial_conflict,True,"{""layers"": [{""publisher"": null, ""source_name"": ""Condenser Water Pump Enable/Disable (Dedicated)"", ""value_summary"": ""Condenser Water Pump Enable/Disable (Dedicated)""}, {""publisher"": null, ""source_name"": ""Condenser Water Pump Enable/Disable (Headered, No WSE)"", ""value_summary"": ""Condenser Water Pump Enable/Disable (Headered, No WSE)""}, {""publisher"": null, ""source_name"": ""Condenser Water Pump Enable/Disable (Headered, with WSE)"", ""value_summary"": ""Condenser Water Pump Enable/Disable (Headered, with WSE)""}]}"
ko_00824f0abfb8e58f,,hvac::performance_spec:水流量_水流量,水流量,material_conflict,value_disagreement,True,"{""layers"": [{""publisher"": ""美意"", ""source_name"": ""水流量"", ""value_summary"": ""158m³/h""}, {""publisher"": ""美意"", ""source_name"": ""水流量"", ""value_summary"": ""24m³/h""}, {""publisher"": ""美意"", ""source_name"": ""水流量"", ""value_summary"": ""51m³/h""}, {""publisher"": ""美意"", ""source_name"": ""水流量"", ""value_summary"": ""220m³/h""}, {""publisher"": ""unknown"", ""source_name"": ""水流量"", ""value_summary"": ""30m³/h""}, {""publisher"": ""unknown"", ""source_name"": ""水流量"", ""value_summary"": ""80m³/h""}, {""publisher"": ""unknown"", ""source_name"": ""水流量"", ""value_summary"": ""70m³/h""}, {""publisher"": ""unknown"", ""source_name"": ""水流量"", ""value_summary"": ""140m³/h""}]}"
ko_00832cdc5f0748d0,screw_chiller,hvac:screw_chiller:parameter:水侧换热器水流量,水侧换热器水流量,material_conflict,value_disagreement,True,"{""layers"": [{""publisher"": ""unknown"", ""source_name"": ""水侧换热器水流量"", ""value_summary"": ""45.40m³/h""}, {""publisher"": ""unknown"", ""source_name"": ""水侧换热器水流量"", ""value_summary"": ""60.00m³/h""}]}"
ko_0096347e37bab6fe,screw_chiller,hvac:screw_chiller:parameter:全热回收模式设定,全热回收模式设定,material_conflict,partial_conflict,True,"{""layers"": [{""publisher"": ""unknown"", ""source_name"": ""全热回收模式设定"", ""value_summary"": ""全热回收模式设定""}, {""publisher"": ""unknown"", ""source_name"": ""全热回收定时设定"", ""value_summary"": ""全热回收定时设定""}, {""publisher"": ""unknown"", ""source_name"": ""全热回收模式设定"", ""value_summary"": ""手动""}, {""publisher"": ""unknown"", ""source_name"": ""全热回收定时设定"", ""value_summary"": ""进入""}]}"
ko_00c69c8b6f3a0de3,water_source_heat_pump,hvac:water_source_heat_pump:parameter:蒸发器源水流量,蒸发器源水流量,material_conflict,value_disagreement,True,"{""layers"": [{""publisher"": ""美意"", ""source_name"": ""蒸发器源水流量"", ""value_summary"": ""33m³/h""}, {""publisher"": ""美意"", ""source_name"": ""蒸发器源水流量"", ""value_summary"": ""16m³/h""}]}"
ko_00e2c613d5adef8e,air_cooled_modular_heat_pump,hvac:air_cooled_modular_heat_pump:parameter:fla,FLA,material_conflict,partial_conflict,True,"{""layers"": [{""publisher"": ""特灵"", ""source_name"": ""FLA"", ""value_summary"": ""FLA""}, {""publisher"": ""特灵"", ""source_name"": ""RLA"", ""value_summary"": ""RLA""}, {""publisher"": ""特灵"", ""source_name"": ""MCA"", ""value_summary"": ""MCA""}, {""publisher"": ""特灵"", ""source_name"": ""recommended_fuse"", ""value_summary"": ""recommended_fuse""}, {""publisher"": ""特灵"", ""source_name"": ""recommended_RCD"", ""value_summary"": ""recommended_RCD""}]}"
ko_0127b10564c73ae6,centrifugal_chiller,hvac:centrifugal_chiller:parameter:冷凝器压力优先控制极限值减量,冷凝器压力优先控制极限值减量,material_conflict,partial_conflict,True,"{""layers"": [{""publisher"": ""Carrier"", ""source_name"": ""冷凝器压力优先控制极限值减量"", ""value_summary"": ""24kPa""}, {""publisher"": ""Carrier"", ""source_name"": ""冷凝器压力优先控制极限值减量"", ""value_summary"": ""24kPa""}, {""publisher"": ""Carrier"", ""source_name"": ""冷凝器压力优先控制点"", ""value_summary"": ""5 psi (34 kPa)psi (kPa)""}, {""publisher"": ""Carrier"", ""source_name"": ""冷凝器压力优先控制"", ""value_summary"": ""1345[862]kPa""}, {""publisher"": ""Carrier"", ""source_name"": ""优先控制限 (冷凝器压力)"", ""value_summary"": ""1034 - 1689kPa""}, {""publisher"": ""Carrier"", ""source_name"": ""冷凝压力优先控制点"", ""value_summary"": ""862kPa (125psig)kPa (psig)""}, {""publisher"": ""Carrier"", ""source_name"": ""冷凝压力优先控制点"", ""value_summary"": ""862kPa (125psig)kPa (psig)""}]}"
ko_015de2fdba2e8111,standard_reference,hvac:standard_reference:parameter:shgc,SHGC,material_conflict,partial_conflict,True,"{""layers"": [{""publisher"": ""ASHRAE"", ""source_name"": ""SHGC"", ""value_summary"": ""SHGC""}, {""publisher"": ""ASHRAE"", ""source_name"": ""Solar heat gain coefficient (SHGC)"", ""value_summary"": ""Solar heat gain coefficient (SHGC)""}]}"
ko_01a4a4047927d344,screw_chiller,hvac:screw_chiller:parameter:evap_high_press,Evap High Press,material_conflict,over_merge,True,"{""layers"": [{""publisher"": ""特灵"", ""source_name"": ""Evap High Press"", ""value_summary"": ""Evap High Press""}, {""publisher"": ""顿汉布什"", ""source_name"": ""Evaporator low pressure alarm setpoint"", ""value_summary"": ""Evaporator low pressure alarm setpoint""}]}"
ko_01ae8232a5bdb2ee,screw_chiller,hvac:screw_chiller:parameter:压缩机数量_压缩机数量,压缩机数量,material_conflict,value_disagreement,True,"{""layers"": [{""publisher"": ""麦克维尔"", ""source_name"": ""压缩机数量"", ""value_summary"": ""2""}, {""publisher"": ""unknown"", ""source_name"": ""压缩机数量"", ""value_summary"": ""1台""}, {""publisher"": ""unknown"", ""source_name"": ""压缩机数量"", ""value_summary"": ""1""}, {""publisher"": ""麦克维尔"", ""source_name"": ""压缩机数量"", ""value_summary"": ""1""}, {""publisher"": ""unknown"", ""source_name"": ""压缩机数量"", ""value_summary"": ""1""}, {""publisher"": ""unknown"", ""source_name"": ""压缩机数量"", ""value_summary"": ""1""}]}"
ko_01b324fadc29c737,screw_chiller,hvac:screw_chiller:fault_code:载冷剂水流开关保护停机,载冷剂水流开关保护停机,material_conflict,value_disagreement,True,"{""layers"": [{""publisher"": ""格力"", ""source_name"": ""载冷剂水流开关保护停机"", ""value_summary"": ""载冷剂水流开关保护停机""}, {""publisher"": ""unknown"", ""source_name"": ""水流开关报警"", ""value_summary"": ""水流开关报警""}]}"
ko_01dcb3884ade014d,air_cooled_modular_heat_pump,hvac:air_cooled_modular_heat_pump:performance_spec:机组重量,机组重量,material_conflict,partial_conflict,True,"{""layers"": [{""publisher"": ""特灵"", ""source_name"": ""机组重量"", ""value_summary"": ""156kg""}, {""publisher"": ""特灵"", ""source_name"": ""机组重量"", ""value_summary"": ""172kg""}, {""publisher"": ""特灵"", ""source_name"": ""机组重量"", ""value_summary"": ""169kg""}, {""publisher"": ""特灵"", ""source_name"": ""机组重量"", ""value_summary"": ""165kg""}, {""publisher"": ""特灵"", ""source_name"": ""整机重量"", ""value_summary"": ""172kg""}]}"
ko_01f033b0a0170ccc,screw_chiller,hvac:screw_chiller:parameter:冷媒名称_制冷剂,制冷剂,material_conflict,value_disagreement,True,"{""layers"": [{""publisher"": ""约克"", ""source_name"": ""制冷剂"", ""value_summary"": ""制冷剂""}, {""publisher"": ""麦克维尔"", ""source_name"": ""制冷剂"", ""value_summary"": ""制冷剂""}, {""publisher"": ""麦克维尔"", ""source_name"": ""制冷剂"", ""value_summary"": ""制冷剂""}, {""publisher"": ""麦克维尔"", ""source_name"": ""制冷剂"", ""value_summary"": ""R134a""}, {""publisher"": ""麦克维尔"", ""source_name"": ""制冷剂"", ""value_summary"": ""R134a""}, {""publisher"": ""麦克维尔"", ""source_name"": ""制冷剂"", ""value_summary"": ""R134a""}, {""publisher"": ""unknown"", ""source_name"": ""制冷剂"", ""value_summary"": ""R134a""}, {""publisher"": ""unknown"", ""source_name"": ""制冷剂"", ""value_summary"": ""R134a""}]}"
ko_020c77017f22a8e0,screw_chiller,hvac:screw_chiller:parameter:保温材料,保温材料,material_conflict,value_disagreement,True,"{""layers"": [{""publisher"": ""麦克维尔"", ""source_name"": ""保温材料"", ""value_summary"": ""保温材料""}, {""publisher"": ""麦克维尔"", ""source_name"": ""保温材料"", ""value_summary"": ""聚乙烯发泡塑料""}, {""publisher"": ""麦克维尔"", ""source_name"": ""保温材料"", ""value_summary"": ""柔性橡塑保温材料""}, {""publisher"": ""麦克维尔"", ""source_name"": ""保温材料"", ""value_summary"": ""柔性橡塑保温材料""}]}"
