old_ko_id,action,reason,new_ko_ids,detail
ko_0003dc96ea6cfa09,reject_old,evidence_all_unrelated,,
ko_0a5634c7d18e0843,reject_old,evidence_all_startup_or_runtime_not_shutdown,,
ko_2ba76711e02b5977,state_only,post-batch1 audit,,value_disagreement
ko_0375092c506a85d8,split,polarity: high pressure; polarity: low pressure,ko_153b5ac79d50e1ef;ko_afb07bdae294ae8a,"[{""consensus_state"": ""single_source"", ""evidence_count"": 1, ""group_key"": ""low_pressure_cutout"", ""new_canonical_key"": ""hvac:screw_chiller:parameter:高压_断开_low_pressure_cutout"", ""new_ko_id"": ""ko_153b5ac79d50e1ef"", ""reason"": ""polarity: low pressure"", ""review_status"": ""published"", ""title"": ""低压断开""}, {""consensus_state"": ""single_source"", ""evidence_count"": 1, ""group_key"": ""high_pressure_cutout"", ""new_canonical_key"": ""hvac:screw_chiller:parameter:高压_断开_high_pressure_cutout"", ""new_ko_id"": ""ko_afb07bdae294ae8a"", ""reason"": ""polarity: high pressure"", ""review_status"": ""published"", ""title"": ""高压断开""}]"
ko_04dc5b2658675b79,split,cross-topic pressure fault; kept oil pressure evidence,ko_c08be308ac51a42f;ko_3c9bcd473b05dba1,"[{""consensus_state"": ""single_source"", ""evidence_count"": 5, ""group_key"": ""rejected_evap_pressure_fault"", ""new_canonical_key"": ""hvac:centrifugal_chiller:fault_code:油压差过低_rejected_evap_pressure_fault"", ""new_ko_id"": ""ko_c08be308ac51a42f"", ""reason"": ""cross-topic pressure fault"", ""review_status"": ""rejected"", ""title"": ""蒸发压力保护误抽取""}, {""consensus_state"": ""value_disagreement"", ""evidence_count"": 2, ""group_key"": ""low_oil_pressure_differential"", ""new_canonical_key"": ""hvac:centrifugal_chiller:fault_code:油压差过低_low_oil_pressure_differential"", ""new_ko_id"": ""ko_3c9bcd473b05dba1"", ""reason"": ""kept oil pressure evidence"", ""review_status"": ""published"", ""title"": ""油压差过低""}]"
ko_050ac03ff6e2b012,split,cross-topic standard evidence; kept climate design evidence,ko_dd1bf2e52db527ef;ko_4362e66faa129cfe,"[{""consensus_state"": ""single_source"", ""evidence_count"": 3, ""group_key"": ""rejected_unrelated_standard"", ""new_canonical_key"": ""hvac:standard_reference:parameter:outdoor_design_temperatures_rejected_unrelated_standard"", ""new_ko_id"": ""ko_dd1bf2e52db527ef"", ""reason"": ""cross-topic standard evidence"", ""review_status"": ""rejected"", ""title"": ""无关标准证据""}, {""consensus_state"": ""value_disagreement"", ""evidence_count"": 3, ""group_key"": ""outdoor_design_temperatures"", ""new_canonical_key"": ""hvac:standard_reference:parameter:outdoor_design_temperatures_outdoor_design_temperatures"", ""new_ko_id"": ""ko_4362e66faa129cfe"", ""reason"": ""kept climate design evidence"", ""review_status"": ""published"", ""title"": ""outdoor design temperatures""}]"
ko_051d666042fe81b7,split,VOC/formaldehyde concept; unit ventilator concept,ko_142e81d48518f58f;ko_48cd6e165034730c,"[{""consensus_state"": ""single_source"", ""evidence_count"": 1, ""group_key"": ""voc_formaldehyde"", ""new_canonical_key"": ""hvac:standard_reference:parameter:maximum_solvent_vapor_concentration_for_insurance_voc_formaldehyde"", ""new_ko_id"": ""ko_142e81d48518f58f"", ""reason"": ""VOC/formaldehyde concept"", ""review_status"": ""published"", ""title"": ""Maximum solvent vapor concentration""}, {""consensus_state"": ""single_source"", ""evidence_count"": 1, ""group_key"": ""unit_ventilator_selection"", ""new_canonical_key"": ""hvac:standard_reference:parameter:maximum_solvent_vapor_concentration_for_insurance_unit_ventilator_selection"", ""new_ko_id"": ""ko_48cd6e165034730c"", ""reason"": ""unit ventilator concept"", ""review_status"": ""published"", ""title"": ""Unit ventilator selection""}]"
ko_05b9aebdde71d566,split,different concept: discharge pressure; different concept: slide valve,ko_b451ac0ab2f009d8;ko_c15d1b6c2a74b2aa,"[{""consensus_state"": ""single_source"", ""evidence_count"": 1, ""group_key"": ""discharge_pressure_limit"", ""new_canonical_key"": ""hvac:screw_chiller:parameter:压力调节阀设定点_discharge_pressure_limit"", ""new_ko_id"": ""ko_b451ac0ab2f009d8"", ""reason"": ""different concept: discharge pressure"", ""review_status"": ""published"", ""title"": ""排气压力限定值""}, {""consensus_state"": ""single_source"", ""evidence_count"": 1, ""group_key"": ""slide_valve_trigger"", ""new_canonical_key"": ""hvac:screw_chiller:parameter:压力调节阀设定点_slide_valve_trigger"", ""new_ko_id"": ""ko_c15d1b6c2a74b2aa"", ""reason"": ""different concept: slide valve"", ""review_status"": ""published"", ""title"": ""滑阀位置触发""}]"
ko_09774088f47b820e,split,duct: cold duct; duct: hot deck,ko_e5087c56eafacc7b;ko_089ed2490ecd65b6,"[{""consensus_state"": ""value_disagreement"", ""evidence_count"": 3, ""group_key"": ""cold_duct_control"", ""new_canonical_key"": ""hvac:ahu:operational_sequence:temperature_control_cooling_mode_with_cold_duct_sat_room_temp_cold_duct_control"", ""new_ko_id"": ""ko_e5087c56eafacc7b"", ""reason"": ""duct: cold duct"", ""review_status"": ""published"", ""title"": ""Cold Duct Temperature Control""}, {""consensus_state"": ""value_disagreement"", ""evidence_count"": 2, ""group_key"": ""hot_deck_control"", ""new_canonical_key"": ""hvac:ahu:operational_sequence:temperature_control_cooling_mode_with_cold_duct_sat_room_temp_hot_deck_control"", ""new_ko_id"": ""ko_089ed2490ecd65b6"", ""reason"": ""duct: hot deck"", ""review_status"": ""published"", ""title"": ""Hot Deck Temperature Control""}]"
ko_0a2c2eebadb6cf7a,split,cross-topic water quality; kept voltage evidence; ocr garbage,ko_d26e4307f3f97972;ko_c299ebd3120bcd8c;ko_8ed8b2c1f6c413c9,"[{""consensus_state"": ""single_source"", ""evidence_count"": 2, ""group_key"": ""rejected_ocr_garbage"", ""new_canonical_key"": ""hvac:screw_chiller:parameter:主电源电压波动_rejected_ocr_garbage"", ""new_ko_id"": ""ko_d26e4307f3f97972"", ""reason"": ""ocr garbage"", ""review_status"": ""rejected"", ""title"": ""OCR乱码证据""}, {""consensus_state"": ""value_disagreement"", ""evidence_count"": 3, ""group_key"": ""main_power_voltage_variation"", ""new_canonical_key"": ""hvac:screw_chiller:parameter:主电源电压波动_main_power_voltage_variation"", ""new_ko_id"": ""ko_c299ebd3120bcd8c"", ""reason"": ""kept voltage evidence"", ""review_status"": ""published"", ""title"": ""主电源电压波动""}, {""consensus_state"": ""single_source"", ""evidence_count"": 1, ""group_key"": ""rejected_water_quality"", ""new_canonical_key"": ""hvac:screw_chiller:parameter:主电源电压波动_rejected_water_quality"", ""new_ko_id"": ""ko_8ed8b2c1f6c413c9"", ""reason"": ""cross-topic water quality"", ""review_status"": ""rejected"", ""title"": ""水质证据误抽取""}]"
