knowledge_object_id,title,old_ontology_class_id,new_ontology_class_id,old_canonical_key,new_canonical_key,primary_doc_id,primary_file_name
ko_00824f0abfb8e58f,水流量,,screw_chiller,hvac::performance_spec:水流量_水流量,hvac:screw_chiller:performance_spec:水流量,doc_308d5eac93674c21,090507辰星二代水源螺杆R134a.pdf
ko_01420ed67a14ce94,制冷最大负荷工况热泵侧进口水温,,centrifugal_chiller,hvac::performance_spec:制冷最大负荷工况热泵侧进口水温,hvac:centrifugal_chiller:performance_spec:制冷最大负荷工况热泵侧进口水温,doc_9cd6680a1a704130,CC系列离心机组.pdf
ko_02551d835b7350a4,制冷IPLV,,centrifugal_chiller,hvac::performance_spec:制冷iplv,hvac:centrifugal_chiller:performance_spec:制冷iplv_2,doc_2f81c916e5184295,MC-H系列高效降膜式离心机样本DJ-17-LA-01A.pdf
ko_02d1e055e7657c59,冷冻水流量,,screw_chiller,hvac::performance_spec:冷冻水流量_冷冻水流量,hvac:screw_chiller:performance_spec:冷冻水流量_2,doc_809485234940447b,03_麦克维尔单螺杆式冷水机组_PFS.pdf
ko_02e3bbc496488d88,过滤网材质,,ahu,hvac::performance_spec:过滤网材质,hvac:ahu:performance_spec:过滤网材质_2,doc_63f0bd02957d4722,超薄吊顶式空气处理机组MPAXH10.pdf
ko_02eaae48755c6fb7,最高承压,,screw_chiller,hvac::performance_spec:最高承压,hvac:screw_chiller:performance_spec:最高承压_2,doc_c33e7b4d18e442e9,LMS系列四管制风冷螺杆机组（23-F-I）0000(1).pdf
ko_02f2b49e2012a5e7,冷凝器水压降,,screw_chiller,hvac::performance_spec:冷凝器水压降_冷凝器水压降_2,hvac:screw_chiller:performance_spec:冷凝器水压降,doc_9ed23ce5a2854e7c,0910_XH3水水螺杆C.pdf
ko_03bfc0bb1856c19c,制冷EER,,screw_chiller,hvac::performance_spec:制冷eer,hvac:screw_chiller:performance_spec:制冷eer_2,doc_ad692853c2824f33,倒M高效降膜风冷螺杆_18.pdf
ko_03c97b7a3097f668,水侧压降,,centrifugal_chiller,hvac::performance_spec:水侧压降_水侧压降,hvac:centrifugal_chiller:performance_spec:水侧压降,doc_2f81c916e5184295,MC-H系列高效降膜式离心机样本DJ-17-LA-01A.pdf
ko_03d03fb933f78e56,制冷名义工况热泵侧水流量,,centrifugal_chiller,hvac::performance_spec:制冷名义工况热泵侧水流量,hvac:centrifugal_chiller:performance_spec:制冷名义工况热泵侧水流量,doc_9cd6680a1a704130,CC系列离心机组.pdf
ko_05467823652152df,湿膜加湿器运行重量,,ahu,hvac::performance_spec:湿膜加湿器运行重量,hvac:ahu:performance_spec:湿膜加湿器运行重量_2,doc_6a66ce78e29e4d84,VAE-2404-组合式空调机组-落地系列.pdf
ko_056e7bc1f86ff198,名义工况下全热回收源水侧进水温度,,screw_chiller,hvac::performance_spec:名义工况下全热回收源水侧进水温度,hvac:screw_chiller:performance_spec:名义工况下全热回收源水侧进水温度_2,doc_9ed23ce5a2854e7c,0910_XH3水水螺杆C.pdf
