knowledge_object_id,ontology_class_id,knowledge_object_type,title,canonical_key,knowledge_evidence_id,chunk_id,doc_id,page_no,evidence_text,file_name,vendor_brand,publisher
ko_0003dc96ea6cfa09,centrifugal_chiller,parameter_spec,冷量优先控制,hvac:centrifugal_chiller:parameter:冷量优先控制,koev_09295a3e02dc9cfd,chunk_bccfb5062a1f49a4,doc_55e5ec4e4ee84e9a,38,超出额定电流110%的时间大于30秒，就会激发安全关机。,【开利】19XR离心机开机运行维护说明书97页-制冷百家网.pdf,开利,开利
ko_0003dc96ea6cfa09,centrifugal_chiller,parameter_spec,冷量优先控制,hvac:centrifugal_chiller:parameter:冷量优先控制,koev_56baaca0074da171,visual_page_doc_d7623d21517a41fd_43,doc_d7623d21517a41fd,43,用于控制电路 保险丝、断路器 电流 A 10,水冷式冷水机组安装、使用、维护说明书.pdf,日立,日立
ko_0375092c506a85d8,screw_chiller,parameter_spec,高压 断开,hvac:screw_chiller:parameter:高压_断开,koev_03c83834b7b88997,visual_page_doc_9c740929db094ed8_36,doc_9c740929db094ed8,36,低压 断开 MPa 0.05,水冷低温螺杆式冷水机组手册.pdf,日立,日立
ko_0375092c506a85d8,screw_chiller,parameter_spec,高压 断开,hvac:screw_chiller:parameter:高压_断开,koev_2d332f73bdb24af8,visual_page_doc_9c740929db094ed8_36,doc_9c740929db094ed8,36,高压 断开 MPa 1.86,水冷低温螺杆式冷水机组手册.pdf,日立,日立
ko_04dc5b2658675b79,centrifugal_chiller,fault_code,油压差过低,hvac:centrifugal_chiller:fault_code:油压差过低,koev_1a3600eeccb55965,chunk_7ec6c6a04b654d07,doc_1cee69bd44d14925,26,"CVS 系列光伏直驱变频离心式冷水机组用户说明书23
6 常见故障及排除方法
6.1 故障处理
制冷机在运行中发现有与正常状态不同的运行状态时，请参照表 6.1，找出原因进行处理，以使
机器尽快恢复正常运行。
在发现表6.1记载的或该表记载以外的异常现象后，若让这种状态存在而继续运行，将会导致
很大的损害(对机器本身，甚至对人身、环境)。所以，发现异常时必须尽快找出原因并消除。若一
时判断不出或没有把握，请尽快与我公司销售服务部门联系。
表 6.1 异常现象及原因与处理一览表
(1) 操作显示的故障
故障显示 原因 处理方法
蒸发压力过低① 冷冻水量不足
② 冷负荷少
③ 节流孔板故障
④ 蒸发器的传热管因水垢等污染而使传热
恶化
⑤ 冷媒量不足 ① 检查冷冻水回路，使冷冻水量达到额定水量
② 检查自动起停装置的整定温度
③ 检查膨胀节流管是否畅通
④ 清扫传热管
⑤ 补充冷媒至所需量
冷凝压力过高① 冷却水量不足
② 冷却塔的能力降低
③ 冷冻水温度太高。制冷能力太大，使冷
凝器负荷加大
④ 有不凝气体存在
⑤ 冷凝器管子因水垢等污染，传热恶化 ① 检查冷却水回路，调整至额定流量
② 检查冷却塔
③ 检查膨胀节流管等，使冷冻水温度尽快接近额定
温度
④ 排除不凝性气体
⑤ 清扫管子
油压差过低① 油过滤器堵塞
② 油压调节阀 ( 泄油阀 ) 开度过大
③ 油泵的输出油量减少
④ 轴承磨损
⑤ 油压表 ( 或传感器 ) 失灵
⑥ 润滑油中混入的制冷剂过多(由于起动
时油起泡而使油压过低 ) ① 更换油过滤芯
② 关小油压调节阀使油压升至定油压
③ 解体检查
④ 更换轴承
⑤ 检查油压表，重新标定压力传感器，必要时更换
⑥ 制冷机停车后务必将油加热器投入，保持给定油
温(确认油加热器有无断线，油加热器温度控制的
整定值是否正确 )
冷冻水过冷① 冷冻水量不足
② 冷负荷少 ① 检查冷冻水回路，使冷冻水量达到额定值
② 等待冷负荷回升
油泵过负荷 ① 油泵坏
② 油路阻力过大 ① 油泵解体检查
② 检查油路系统，如油过滤器等，必要时更换
油温过高① 冷媒引射系统电磁阀坏或引射管路堵塞
② 因冷媒过滤器网堵塞而使油冷却器冷却
用冷媒的供给量不足
③ 轴承磨损 ① 更换电磁阀或拆检引射系统，使肌肤束带结发甲
方
② 清扫冷媒过滤器网
③ 解体后修理或更换轴承
水流开关保护① 冷冻水量不足
② 差压计故障 ① 检查冷冻水泵及冷冻水回路，调至正常流量
② 检修差压计
主电机绕组过热 ① 电源相电压不平衡
② 电源线中电压降大
③ 极端低能头运行
④ 因冷媒过滤器的滤网堵塞而使供给主电
动机的冷却用制冷剂量不足 ① 采取措施使电源相电压平衡
② 采取措施减小电源线路电压降
③ 请参阅 5.2.1（◆低能头运行）
④ 清扫制冷剂滤网.",CVS系列光伏直驱变频离心式冷水机组用户说明书(1).pdf,,
ko_04dc5b2658675b79,centrifugal_chiller,fault_code,油压差过低,hvac:centrifugal_chiller:fault_code:油压差过低,koev_4daf57fc79a5d94e,visual_page_doc_db8c3548279845b5_26,doc_db8c3548279845b5,26,故障显示: 油压差过低,CVS_光伏直驱变频离心机.pdf,unknown,unknown
ko_04dc5b2658675b79,centrifugal_chiller,fault_code,油压差过低,hvac:centrifugal_chiller:fault_code:油压差过低,koev_f241d45e165d968e,chunk_73340978cd0349ba,doc_29602c0c7a83484d,27,"CE 系列离心式水冷冷水机组用户说明书22
注  意
(1) 冷冻水、清洗液、制冷剂等废液、废气的处理应遵守当地法律规定，非法处理废液、废气不
仅违法而且有害健康和环境。
(2) 请不要弄错制冷剂的种类，这是引起火灾爆炸的原因之一。
(3) 禁止改变安全保护装置的设定，这是引起火灾事故的原因之一。
(4) 禁止短路安全装置而迫使机组启动，这是引起火灾爆炸的原因之一。
(5) 在屋内进行修理时请注意通风，如果通风不充分，制冷剂泄漏时会引起缺氧。
5 常见故障及排除方法
制冷机在运行中发现有与正常状态不同的运行状态时，请参照下表，找出原因并进行处理，以使机
器尽快恢复正常运行。
在发现下表记载的或该表记载以外的异常现象后，若一时判断不出原因或没有把握，请尽快与格力
公司销售服务部门联系。
表 5.1 机组故障一览表
故障显示 原  因 处理方法
蒸发压力
过低① 冷冻水量不足
② 冷负荷少
③ 节流孔板故障
④ 蒸发器的传热管因水垢等污染而使传
热恶化
⑤ 冷媒量不足① 检查冷冻水回路，使冷冻水量达到额定水量
② 检查自动起停装置的整定温度
③ 检查膨胀节流管是否畅通
④ 清扫传热管
⑤ 补充冷媒至所需量
冷凝压力
过高① 冷却水量不足
② 冷却塔的能力降低
③ 冷冻水温度太高。制冷能力太大，使
冷凝器负荷加大
④ 有不凝气体存在
⑤ 冷凝器管子因水垢等污染，传热恶化① 检查冷却水回路，调整至额定流量
② 检查冷却塔
③ 检查膨胀节流管等，使冷冻水温度尽快接近
额定温度
④ 排除不凝性气体
⑤ 清扫管子
油压差过
低① 油过滤器堵塞
② 油压调节阀 ( 泄油阀 ) 开度过大
③ 油泵的输出油量减少
④ 轴承磨损
⑤ 油压表 ( 或传感器 ) 失灵
⑥ 润滑油中混入的制冷剂过多(由于起
动时油起泡而使油压过低 )① 更换油过滤芯
② 关小油压调节阀使油压升至定油压
③ 解体检查
④ 更换轴承
⑤ 检查油压表，重新标定压力传感器，必要时
更换
⑥ 制冷机停机后务必将油加热器投入，保持给
定油温(确认油加热器有无断线，油加热器温
度控制的整定值是否正确 )
冷冻水过
冷① 冷冻水量不足
② 冷负荷少① 检查冷冻水回路，使冷冻水量达到额定值
② 等待冷负荷回升
油泵过负
荷① 油泵坏
② 油路阻力过大① 油泵解体检查
② 检查油路系统，如油过滤器等，必要时更换
油温过高① 冷媒引射系统电磁阀坏或引射管路堵
塞
② 因冷媒过滤器网堵塞而使油冷却器冷
却用冷媒的供给量不足
③ 轴承磨损① 更换电磁阀或拆检引射系统
② 清扫冷媒过滤器网
③ 解体后修理或更换轴承.",CE系列离心式水冷冷水机组用户说明书.pdf,,
ko_04dc5b2658675b79,centrifugal_chiller,fault_code,油压差过低,hvac:centrifugal_chiller:fault_code:油压差过低,koev_b824b9acff5bad32,visual_page_doc_db8c3548279845b5_31,doc_db8c3548279845b5,31,供油压差过低 120 kPa（压差）报警,CVS_光伏直驱变频离心机.pdf,unknown,unknown
ko_04dc5b2658675b79,centrifugal_chiller,fault_code,油压差过低,hvac:centrifugal_chiller:fault_code:油压差过低,koev_92a5864761767a1b,chunk_466b8e6dc1434836,doc_99fc08961aa540f4,41,"39 维修篇
1 机组故障一览表
故障显示  故障名称  故障信号来源  保护说明
油压差报
警/保护 压缩机油
压差报警/
保护 供油压力
油箱压力 如果供油不足，轴承有烧掉的危险，为保证机组主
电动机、压缩机各轴承处润滑充分，即保证充分供
油，需要足够的油压差，运行时当压差过低时机组
报警或者保护停机，在机组起动时，压差低于设定
值主机将不起动
供油温度
报警/保
护 供油温度
高温报警 /
保护 供油温度 供油温度升高会降低润滑油的粘度，可能使轴承油
膜刚度不足，承载能力不够而导致轴承损坏，在机
组运行过程中控制供油温度，当温度高于一定值时
机组会报警或者保护停机
油泵过载
保护 油泵过载
保护 油泵热继电器 油泵过载可能导致油泵损坏，并可能进而导致润滑
油供给中断，对机组造成损害，如果检测到机组油
泵过载，机组将保护停机
主机绕组
过热保护  主机绕组
过热保护 电机绕组过热
保护开关 主机绕组过热将可能导致机组主电机损坏，机组在
运行过程中将检测电机绕组过热保护开关，如果检
测开关断开，机组将保护停机
启动柜故
障 启动动作
异常保护 主机电流 机组起动动作异常有可能导致主机电流过大，从而
导致主电机的损坏，为了避免这种情况，开机后将
检测主机电流，如果电流过大，机组将保护停机
压缩机高
压报警/
保护 压缩机高
压报警/保
护 冷凝压力 机组冷凝器按照一类压力容器设计制造，为了保证
冷凝器的安全，机组运行过程中控制机组的冷凝压
力，当机组压力超过设定值，机组将报警或保护停
机
压缩机低
压报警/
保护 压缩机低
压报警/保
护 蒸发压力 蒸发压力过低，造成蒸发温度低，过低的蒸发温度
将可能导致蒸发器铜管内水结冰而损坏蒸发器，机
组运行过程中控制机组的蒸发压力，当机组压力低
于设定值，机组将报警或保护停机
防冻保护  防冻保护 冷冻水出水温
度 冷冻水出水温度过低，则冷冻水可能在蒸发器的蒸
发管内结冰而损坏铜管和蒸发器，机组运行过程中
严格控制机组的冷冻水出水温度，当机组冷冻水出
水温度低于设定值时，机组将保护停机
冷冻水水
流开关保
护/冷却
水水流开
关保护 冷冻水水
流开关保
护/冷却水
水流开关
保护 水流开关 水流量少或断水，导致冷凝压力过高或者蒸发压力
过低，水流量过少将导致冷凝压力迅速升高或蒸发
压力迅速降低而导致设备故障，为保证设备的安全，
应当保证水流量，水流量少断水，机组将保护停机
缺逆相保
护 缺逆相保
护 启动柜 机组主电机反转将可能导致机组损毁，为保护机组，
当机组出现缺逆相时启动柜将给出信号，而机组将
保护停机
传感器故
障 传感器故
障保护 各传感器 如果传感器出现故障，将失去对机组的控制，从而
有可能导致机组损坏，当然针对不同的传感器给出
不同的处理方式，比如蒸发、冷凝压力传感器和水
http://www.coolling.net/
R6Q·v~[¶Qettÿwww.zhilengbj.cn.",【格力】C系列离心式冷水机组技术手册（69页）-.pdf,格力,格力
ko_04dc5b2658675b79,centrifugal_chiller,fault_code,油压差过低,hvac:centrifugal_chiller:fault_code:油压差过低,koev_dba2f272688f6a51,chunk_94139bafd70748f6,doc_dcf25b0eb7fc4c75,41,"39 维修篇
1 机组故障一览表
故障显示  故障名称  故障信号来源  保护说明
油压差报
警/保护 压缩机油
压差报警/
保护 供油压力
油箱压力 如果供油不足，轴承有烧掉的危险，为保证机组主
电动机、压缩机各轴承处润滑充分，即保证充分供
油，需要足够的油压差，运行时当压差过低时机组
报警或者保护停机，在机组起动时，压差低于设定
值主机将不起动
供油温度
报警/保
护 供油温度
高温报警 /
保护 供油温度 供油温度升高会降低润滑油的粘度，可能使轴承油
膜刚度不足，承载能力不够而导致轴承损坏，在机
组运行过程中控制供油温度，当温度高于一定值时
机组会报警或者保护停机
油泵过载
保护 油泵过载
保护 油泵热继电器 油泵过载可能导致油泵损坏，并可能进而导致润滑
油供给中断，对机组造成损害，如果检测到机组油
泵过载，机组将保护停机
主机绕组
过热保护  主机绕组
过热保护 电机绕组过热
保护开关 主机绕组过热将可能导致机组主电机损坏，机组在
运行过程中将检测电机绕组过热保护开关，如果检
测开关断开，机组将保护停机
启动柜故
障 启动动作
异常保护 主机电流 机组起动动作异常有可能导致主机电流过大，从而
导致主电机的损坏，为了避免这种情况，开机后将
检测主机电流，如果电流过大，机组将保护停机
压缩机高
压报警/
保护 压缩机高
压报警/保
护 冷凝压力 机组冷凝器按照一类压力容器设计制造，为了保证
冷凝器的安全，机组运行过程中控制机组的冷凝压
力，当机组压力超过设定值，机组将报警或保护停
机
压缩机低
压报警/
保护 压缩机低
压报警/保
护 蒸发压力 蒸发压力过低，造成蒸发温度低，过低的蒸发温度
将可能导致蒸发器铜管内水结冰而损坏蒸发器，机
组运行过程中控制机组的蒸发压力，当机组压力低
于设定值，机组将报警或保护停机
防冻保护  防冻保护 冷冻水出水温
度 冷冻水出水温度过低，则冷冻水可能在蒸发器的蒸
发管内结冰而损坏铜管和蒸发器，机组运行过程中
严格控制机组的冷冻水出水温度，当机组冷冻水出
水温度低于设定值时，机组将保护停机
冷冻水水
流开关保
护/冷却
水水流开
关保护 冷冻水水
流开关保
护/冷却水
水流开关
保护 水流开关 水流量少或断水，导致冷凝压力过高或者蒸发压力
过低，水流量过少将导致冷凝压力迅速升高或蒸发
压力迅速降低而导致设备故障，为保证设备的安全，
应当保证水流量，水流量少断水，机组将保护停机
缺逆相保
护 缺逆相保
护 启动柜 机组主电机反转将可能导致机组损毁，为保护机组，
当机组出现缺逆相时启动柜将给出信号，而机组将
保护停机
传感器故
障 传感器故
障保护 各传感器 如果传感器出现故障，将失去对机组的控制，从而
有可能导致机组损坏，当然针对不同的传感器给出
不同的处理方式，比如蒸发、冷凝压力传感器和水
http://www.coolling.net/
R6Q·v~[¶Qettÿwww.zhilengbj.cn.",【格力】C系列离心式冷水机组技术服务手册（69页）-.pdf,格力,格力
