batch_group,batch_reason,extraction_priority,publisher_or_brand_guess,authority_level_guess,document_kind_guess,equipment_scope_guess,page_count,text_quality,recommended_extraction_mode,size_mb,path
A_standard_authority_first,official/high-authority references; use section/chapter mode and avoid split duplicates,P0_run_first,手册与标准,industry_standard_or_reference,standard_guideline_control_sequences,general_hvac,292,good_text,section_context_or_chapter_batch,10.4,/Volumes/TSD302/19.暖通论文/英文文献/手册与标准/HVAC系统高性能运行序列指南.pdf
A_standard_authority_first,official/high-authority references; use section/chapter mode and avoid split duplicates,P0_official_reference,ASHRAE,industry_standard_or_reference,standard_handbook,general_hvac,,unknown,doc_level_or_section_context,35.14,/Volumes/TSD302/19.暖通论文/英文文献/手册与标准/ASHRAE手册2019.pdf
A_standard_authority_first,official/high-authority references; use section/chapter mode and avoid split duplicates,P0_official_reference,ASHRAE,industry_standard_or_reference,standard_handbook,general_hvac,19,good_text,doc_level_or_section_context,3.51,/Volumes/TSD302/19.暖通论文/英文文献/手册与标准/ASHRAE 211能源审计最佳实践.pdf
A_standard_authority_first,official/high-authority references; use section/chapter mode and avoid split duplicates,P0_official_reference,ASHRAE,industry_standard_or_reference,standard_handbook,general_hvac,401,good_text,section_context_or_chapter_batch,6.58,/Volumes/TSD302/19.暖通论文/英文文献/手册与标准/空调 系统 设计 手册 Ashrae 特别 出版物.pdf
A_standard_authority_first,official/high-authority references; use section/chapter mode and avoid split duplicates,P0_official_reference,ASHRAE,industry_standard_or_reference,standard_handbook,general_hvac,494,good_text,section_context_or_chapter_batch,14.16,/Volumes/TSD302/19.暖通论文/英文文献/手册与标准/ASHRAE绿色建筑指南.pdf
A_standard_authority_first,official/high-authority references; use section/chapter mode and avoid split duplicates,P0_official_reference,ASHRAE,industry_standard_or_reference,standard_handbook,general_hvac,986,good_text,section_context_or_chapter_batch,20.89,/Volumes/TSD302/19.暖通论文/英文文献/手册与标准/ASHRAE手册 - HVAC系统和设备篇.pdf
A_standard_authority_first,official/high-authority references; use section/chapter mode and avoid split duplicates,P0_official_reference,ASHRAE,industry_standard_or_reference,standard_handbook,general_hvac,1006,good_text,section_context_or_chapter_batch,64.06,/Volumes/TSD302/19.暖通论文/英文文献/手册与标准/ASHRAE手册2024.pdf
A_standard_authority_first,official/high-authority references; use section/chapter mode and avoid split duplicates,P0_official_reference,ASHRAE,industry_standard_or_reference,standard_handbook,general_hvac,1014,good_text,section_context_or_chapter_batch,82.82,/Volumes/TSD302/19.暖通论文/英文文献/手册与标准/ASHRAE手册 - 基础理论篇.pdf
B_oem_manual_text_first,text-extractable OEM operation/service/technical manuals; catalogs excluded,P1_batch_extract,McQuay/Daikin,oem_manual_or_vendor_doc,fault_code_reference,"controller,fault_code",31,good_text,doc_level_single_call,0.46,/Volumes/TSD302/pan/a00238/06、麦克维尔/技术手册/【麦克维尔】MACD模块机组故障分析与排除技术手册（31页）-.pdf
B_oem_manual_text_first,text-extractable OEM operation/service/technical manuals; catalogs excluded,P1_batch_extract,Haier,oem_manual_or_vendor_doc,fault_code_reference,"vrf_vrv,fault_code",111,good_text,doc_level_single_call,2.12,/Volumes/TSD302/pan/a00238/08、海尔中央空调/海尔技术手册/（制冷百家）海尔商用故障代码手册-制冷百家网.pdf
