batch_group,description,extraction_priority,publisher_or_brand_guess,authority_level_guess,document_kind_guess,equipment_scope_guess,page_count,text_quality,recommended_extraction_mode,size_mb,path
phase1_keep_text,phase1 p1+p2 text/mixed hvac corpus,P1,盾安,oem_manual,technical_manual,ahu,10,mixed,doc_level_single_call,33,/Users/asteroida/work/KnowFabric/storage/authority_sources/hvac/_phase1_batch/ahu_cn/盾安/柜式空气处理机组(LEG)201206.pdf
phase1_keep_text,phase1 p1+p2 text/mixed hvac corpus,P1,大金,oem_manual,technical_manual,ahu,20,mixed,doc_level_single_call,14,/Users/asteroida/work/KnowFabric/storage/authority_sources/hvac/_phase1_batch/ahu_cn/大金/daikin_ahu_product_catalogue_2024_mea_technical_catalog_810_air_handling_units_product_catalogue_pdf.pdf
phase1_keep_text,phase1 p1+p2 text/mixed hvac corpus,P1,约克,oem_manual,technical_manual,ahu,20,text,doc_level_single_call,5,/Users/asteroida/work/KnowFabric/storage/authority_sources/hvac/_phase1_batch/ahu_cn/约克/约克YSM组合式空调箱.pdf
phase1_keep_text,phase1 p1+p2 text/mixed hvac corpus,P1,麦克维尔,oem_manual,technical_manual,ahu,10,text,doc_level_single_call,4,/Users/asteroida/work/KnowFabric/storage/authority_sources/hvac/_phase1_batch/ahu_cn/麦克维尔/09_麦克维尔组合式空气处理机组_MDM-E.pdf
phase1_keep_text,phase1 p1+p2 text/mixed hvac corpus,P1,麦克维尔,oem_manual,technical_manual,ahu,13,text,doc_level_single_call,4,/Users/asteroida/work/KnowFabric/storage/authority_sources/hvac/_phase1_batch/ahu_cn/麦克维尔/07_麦克维尔高级净化型组合式空气处理机_MDM-XE.pdf
phase1_keep_text,phase1 p1+p2 text/mixed hvac corpus,P1,大金,oem_manual,technical_manual,ahu,44,text,doc_level_single_call,4,/Users/asteroida/work/KnowFabric/storage/authority_sources/hvac/_phase1_batch/ahu_cn/大金/daikin_ddm_ahu_technical_catalog_catalogue_air_handling_unit_ddm_ahu_pdf.pdf
phase1_keep_text,phase1 p1+p2 text/mixed hvac corpus,P1,特灵,oem_manual,technical_manual,ahu,20,text,doc_level_single_call,3,/Users/asteroida/work/KnowFabric/storage/authority_sources/hvac/_phase1_batch/ahu_cn/特灵/CLCP系列组合式空气处理机组_CLCH-PRC010-ZH_20150813.pdf
phase1_keep_text,phase1 p1+p2 text/mixed hvac corpus,P1,麦克维尔,oem_manual,technical_manual,ahu,16,text,doc_level_single_call,2,/Users/asteroida/work/KnowFabric/storage/authority_sources/hvac/_phase1_batch/ahu_cn/麦克维尔/11_麦克维尔组合式空气处理机组_MDM.pdf
phase1_keep_text,phase1 p1+p2 text/mixed hvac corpus,P1,麦克维尔,oem_manual,technical_manual,ahu,16,text,doc_level_single_call,2,/Users/asteroida/work/KnowFabric/storage/authority_sources/hvac/_phase1_batch/ahu_cn/麦克维尔/06_麦克维尔组合式空气处理机组_MDM-C.pdf
phase1_keep_text,phase1 p1+p2 text/mixed hvac corpus,P1,特灵,oem_manual,technical_manual,ahu,20,text,doc_level_single_call,2,/Users/asteroida/work/KnowFabric/storage/authority_sources/hvac/_phase1_batch/ahu_cn/特灵/CLCA系列组合式空气处理机组_CLCA-PRC001A-ZH_20150812.pdf
