batch_group,batch_reason,extraction_priority,publisher_or_brand_guess,authority_level_guess,document_kind_guess,equipment_scope_guess,page_count,text_quality,recommended_extraction_mode,size_mb,path
chiller_visual,MiMo visual extraction batch,P1_visual,Trane,oem_manual,technical_manual,"screw_chiller,air_cooled_chiller_heat_pump",195,partial_text,visual_page_level,24.3,/Volumes/TSD302/pan/a00238/05、特灵中央空调/特灵/【特灵】RTAC风冷螺杆式冷水机组技术手册（195页）-.pdf
chiller_visual,MiMo visual extraction batch,P1_visual,Trane,oem_manual,operation_installation_manual,"screw_chiller,air_cooled_chiller_heat_pump",195,partial_text,visual_page_level,24.3,/Volumes/TSD302/pan/a00238/05、特灵中央空调/特灵/【特灵】RTAC风冷螺杆机组安装操作维护手册（195页）-制冷百家网.pdf
chiller_visual,MiMo visual extraction batch,P1_visual,York/JCI,oem_manual,training_or_textbook,centrifugal_chiller,132,partial_text,visual_page_level,5.87,/Volumes/TSD302/pan/a00238/04、约克中央空调/培训/【约克】离心冷水机组培训.pdf
chiller_visual,MiMo visual extraction batch,P1_visual,York/JCI,oem_manual,technical_manual,centrifugal_chiller,132,partial_text,visual_page_level,5.42,/Volumes/TSD302/pan/a00238/04、约克中央空调/约克技术手册/【约克】离心冷水机组培训手册-制冷百家网.pdf
chiller_visual,MiMo visual extraction batch,P1_visual,York/JCI,oem_manual,technical_manual,centrifugal_chiller,123,low_or_no_text,visual_page_level,38.22,/Volumes/TSD302/pan/a00238/04、约克中央空调/约克技术手册/【约克】YK系列离心机操作维护手册（123页）-制冷百家网.pdf
chiller_visual,MiMo visual extraction batch,P1_visual,Carrier,oem_manual,technical_manual,centrifugal_chiller,97,low_or_no_text,visual_page_level,9.82,/Volumes/TSD302/pan/a00238/03、开利中央空调/技术手册/【开利】19XR离心式冷水机组开机运行维护说明书-制冷百家网.pdf
chiller_visual,MiMo visual extraction batch,P1_visual,Carrier,oem_manual,technical_manual,centrifugal_chiller,97,low_or_no_text,visual_page_level,9.82,/Volumes/TSD302/pan/a00238/03、开利中央空调/技术手册/【开利】19XR离心机开机运行维护说明书97页-制冷百家网.pdf
chiller_visual,MiMo visual extraction batch,P1_visual,Trane,oem_manual,product_catalog_or_brochure,air_cooled_chiller_heat_pump,95,low_or_no_text,visual_page_level,28.5,/Volumes/TSD302/pan/a00238/05、特灵中央空调/样本手册/小机-水机/AquaKool/测试报告/风冷冷水(热泵)机组06001-2015LK1867--CGHR16DHAR--A2015CCC0703-2136935.pdf
chiller_visual,MiMo visual extraction batch,P1_visual,McQuay/Daikin,oem_manual,technical_manual,centrifugal_chiller,95,low_or_no_text,visual_page_level,16.88,/Volumes/TSD302/pan/a00238/06、麦克维尔/技术手册/【麦克维尔】离心机技术资料合成本（95页）-制冷百家网.pdf
chiller_visual,MiMo visual extraction batch,P1_visual,Carrier,oem_manual,technical_manual,centrifugal_chiller,94,partial_text,visual_page_level,25.35,/Volumes/TSD302/pan/a00238/03、开利中央空调/技术手册/【开利】19XL+离心式冷水机组开机操作及维护手册（94页）-制冷百家网.pdf
chiller_visual,MiMo visual extraction batch,P1_visual,Carrier,oem_manual,technical_manual,centrifugal_chiller,94,partial_text,visual_page_level,25.35,/Volumes/TSD302/pan/a00238/03、开利中央空调/技术手册/【开利】19XL+离心式冷水机组（94页）-制冷百家网.pdf
chiller_visual,MiMo visual extraction batch,P1_visual,Carrier,oem_manual,technical_manual,centrifugal_chiller,94,low_or_no_text,visual_page_level,4.54,/Volumes/TSD302/pan/a00238/03、开利中央空调/技术手册/【开利】19XL-离心式冷水机组开机运行及维护说明书94页-制冷百家网.pdf
chiller_visual,MiMo visual extraction batch,P1_visual,York/JCI,oem_manual,operation_installation_manual,screw_chiller,92,partial_text,visual_page_level,13.0,/Volumes/TSD302/pan/a00238/04、约克中央空调/约克技术手册/【约克】RWBⅡ 旋转式螺杆机组安装操作维护(92页）-制冷百家网.pdf
chiller_visual,MiMo visual extraction batch,P1_visual,Haier,oem_manual,standard_or_best_practice,screw_chiller,89,partial_text,visual_page_level,2.46,/Volumes/TSD302/pan/a00238/08、海尔中央空调/海尔技术手册/【海尔 】GACG水( ( 地) ) 源热泵技术手册（89页）-制冷百家网.pdf
chiller_visual,MiMo visual extraction batch,P1_visual,Haier,oem_manual,technical_manual,water_source_heat_pump,89,low_or_no_text,visual_page_level,21.46,/Volumes/TSD302/pan/a00238/08、海尔中央空调/海尔技术手册/【海尔】ACG水源热泵技术手册（89页）-制冷百家网.pdf
